from_rushid,to_rushid,label
7798,7024,Indirect relative of
2128,2039,Indirect relative of
4695,6018,Indirect relative of
5052,6970,Indirect relative of
5052,8391,Indirect relative of
8391,5052,Indirect relative of
785,3949,Indirect relative of
1722,7175,Indirect relative of
1722,787,Indirect relative of
788,949,Indirect relative of
5637,5638,Indirect relative of
930,7177,Indirect relative of
7177,930,Indirect relative of
7178,7180,Indirect relative of
8538,930,Indirect relative of
7178,8538,Indirect relative of
7178,7177,Indirect relative of
930,8538,Indirect relative of
930,7181,Indirect relative of
7180,930,Indirect relative of
806,930,Indirect relative of
9012,8678,Indirect relative of
799,6511,Indirect relative of
4696,805,Indirect relative of
8097,2182,Indirect relative of
809,7510,Indirect relative of
7510,877,Indirect relative of
7510,9115,Indirect relative of
5918,5649,Indirect relative of
1440,7897,Indirect relative of
1418,1395,Indirect relative of
729,728,Indirect relative of
728,729,Indirect relative of
6286,7070,Indirect relative of
5660,1198,Indirect relative of
7187,5929,Indirect relative of
8481,8814,Indirect relative of
8481,6127,Indirect relative of
3139,6603,Indirect relative of
2081,5699,Indirect relative of
2081,1341,Indirect relative of
1199,4368,Indirect relative of
6559,6883,Indirect relative of
6883,6559,Indirect relative of
6454,6559,Indirect relative of
6559,6454,Indirect relative of
5893,5688,Indirect relative of
1563,3313,Indirect relative of
5234,3476,Indirect relative of
2259,4585,Indirect relative of
833,8016,Indirect relative of
8016,833,Indirect relative of
3674,9027,Indirect relative of
2080,7652,Indirect relative of
7616,1061,Indirect relative of
845,9110,Indirect relative of
898,4467,Indirect relative of
8786,7487,Indirect relative of
8786,7858,Indirect relative of
8838,7935,Indirect relative of
844,3633,Indirect relative of
9303,8296,Indirect relative of
5736,9121,Indirect relative of
2945,8749,Indirect relative of
8749,2945,Indirect relative of
6994,7812,Indirect relative of
6819,7399,Indirect relative of
7399,6819,Indirect relative of
5654,719,Indirect relative of
719,5654,Indirect relative of
864,6714,Indirect relative of
6714,864,Indirect relative of
6714,6254,Indirect relative of
7403,5772,Indirect relative of
2742,867,Indirect relative of
867,2742,Indirect relative of
884,3842,Indirect relative of
884,885,Indirect relative of
885,884,Indirect relative of
885,7228,Indirect relative of
887,7232,Indirect relative of
7232,887,Indirect relative of
3730,9007,Indirect relative of
2743,4223,Indirect relative of
2753,6074,Indirect relative of
4459,9552,Indirect relative of
9552,4459,Indirect relative of
8763,8649,Indirect relative of
8763,5431,Indirect relative of
4172,270,Indirect relative of
6218,3058,Indirect relative of
2086,2261,Indirect relative of
7487,2847,Indirect relative of
7767,1598,Indirect relative of
1035,6662,Indirect relative of
9027,4584,Indirect relative of
1598,6890,Indirect relative of
6890,1598,Indirect relative of
9110,4644,Indirect relative of
3057,4454,Indirect relative of
9119,5067,Indirect relative of
2100,2645,Indirect relative of
6131,4697,Indirect relative of
6136,6842,Indirect relative of
6136,6843,Indirect relative of
6141,5519,Indirect relative of
998,6441,Indirect relative of
6441,998,Indirect relative of
6142,6296,Indirect relative of
968,2223,Indirect relative of
7291,959,Indirect relative of
960,959,Indirect relative of
7311,960,Indirect relative of
960,7311,Indirect relative of
4716,5955,Indirect relative of
1706,3477,Indirect relative of
1706,3476,Indirect relative of
3477,1706,Indirect relative of
2249,4475,Indirect relative of
6740,6829,Indirect relative of
7031,6533,Indirect relative of
4137,840,Indirect relative of
7648,1507,Indirect relative of
7648,1506,Indirect relative of
9404,4732,Indirect relative of
2261,2086,Indirect relative of
7152,3886,Indirect relative of
8649,8763,Indirect relative of
7191,6262,Indirect relative of
805,4696,Indirect relative of
9024,4196,Indirect relative of
728,5891,Indirect relative of
8481,8363,Indirect relative of
3290,3236,Indirect relative of
6618,7070,Indirect relative of
6282,5891,Indirect relative of
9049,6199,Indirect relative of
2080,2238,Indirect relative of
4467,898,Indirect relative of
2015,1026,Indirect relative of
6990,1488,Indirect relative of
6222,827,Indirect relative of
8706,4728,Indirect relative of
6199,6200,Indirect relative of
6200,6199,Indirect relative of
1041,7346,Indirect relative of
7014,1969,Indirect relative of
5772,7403,Indirect relative of
2451,7214,Indirect relative of
7214,2451,Indirect relative of
811,6021,Indirect relative of
873,7229,Indirect relative of
1990,9037,Indirect relative of
9424,6940,Indirect relative of
2602,7034,Indirect relative of
2607,7618,Indirect relative of
2626,9040,Indirect relative of
2660,2101,Indirect relative of
2667,2666,Indirect relative of
5077,5078,Indirect relative of
7036,7033,Indirect relative of
7638,2264,Indirect relative of
5128,1441,Indirect relative of
1441,5128,Indirect relative of
9301,6115,Indirect relative of
7010,7011,Indirect relative of
7011,7010,Indirect relative of
2088,1119,Indirect relative of
2854,1369,Indirect relative of
6098,4532,Indirect relative of
7631,7283,Indirect relative of
943,7984,Indirect relative of
1026,7283,Indirect relative of
2223,6623,Indirect relative of
949,1761,Indirect relative of
930,7180,Indirect relative of
7181,930,Indirect relative of
5964,6394,Indirect relative of
8949,7613,Indirect relative of
8335,1873,Indirect relative of
5289,1674,Indirect relative of
2182,8097,Indirect relative of
7184,6254,Indirect relative of
7184,7510,Indirect relative of
9115,7510,Indirect relative of
821,7845,Indirect relative of
5649,5918,Indirect relative of
6792,3043,Indirect relative of
7867,1873,Indirect relative of
7867,8206,Indirect relative of
3180,6474,Indirect relative of
5225,6873,Indirect relative of
6694,4476,Indirect relative of
6694,4475,Indirect relative of
1439,3236,Indirect relative of
1418,8997,Indirect relative of
5688,5893,Indirect relative of
3313,9007,Indirect relative of
8237,2771,Indirect relative of
8237,3929,Indirect relative of
5094,3768,Indirect relative of
1563,6442,Indirect relative of
9092,6637,Indirect relative of
9092,2569,Indirect relative of
5696,9099,Indirect relative of
8988,1549,Indirect relative of
6136,6841,Indirect relative of
2826,7747,Indirect relative of
7747,2826,Indirect relative of
1475,6456,Indirect relative of
9146,1714,Indirect relative of
4585,5897,Indirect relative of
4585,4586,Indirect relative of
5724,5897,Indirect relative of
857,856,Indirect relative of
856,857,Indirect relative of
856,858,Indirect relative of
858,856,Indirect relative of
6820,7399,Indirect relative of
9764,368,Indirect relative of
368,9764,Indirect relative of
8750,1830,Indirect relative of
1073,8996,Cousin of
8996,1073,Cousin of
