from_politician_id,from_name,from_rushid,to_politician_id,to_name,to_rushid,relation,source
Q6249506,"John Morrison, 1st Baron Margadale",8702,Q5932043,Hugh Morrison,,father,wikidata
Q6249740,"John Mulholland, 1st Baron Dunleath",2642,Q5726129,"Henry Mulholland, 2nd Baron Dunleath",,child,wikidata
Q3809512,John O'Connell,5247,Q21548703,Morgan O'Connell,5246,cousin,rush
Q3809512,John O'Connell,5247,Q314917,Daniel O'Connell,,father,wikidata
Q3809512,John O'Connell,5247,Q6793386,Maurice O'Connell,,sibling,wikidata
Q3809512,John O'Connell,5247,Q5218291,Daniel O'Connell,,sibling,wikidata
Q3809512,John O'Connell,5247,Q6911794,Morgan O'Connell,,sibling,wikidata
Q6251316,"John Ormsby-Gore, 1st Baron Harlech",2703,Q8016372,William Ormsby-Gore,,father,wikidata
Q6251316,"John Ormsby-Gore, 1st Baron Harlech",2703,Q5543049,"George Ormsby-Gore, 3rd Baron Harlech",,nephew/niece,wikidata
Q6251316,"John Ormsby-Gore, 1st Baron Harlech",2703,Q26237502,Seymour Ormsby-Gore,,nephew/niece,wikidata
Q6251316,"John Ormsby-Gore, 1st Baron Harlech",2703,Q8016373,"William Ormsby-Gore, 2nd Baron Harlech",,sibling,wikidata
Q3485213,John Pender,2748,Q7527473,"Sir James Pender, 1st Baronet",,child,wikidata
Q4867100,John Peto,5379,Q4867241,Basil Peto,,father,wikidata
Q4867100,John Peto,5379,Q149062,Samuel Morton Peto,,grandparent,wikidata
Q4867100,John Peto,5379,Q7526332,"Sir Christopher Peto, 3rd Baronet",,sibling,wikidata
Q16023302,"John Philipps, 1st Viscount St Davids",2871,Q3359001,"Owen Philipps, 1st Baron Kylsant",,sibling,wikidata
Q16023302,"John Philipps, 1st Viscount St Davids",2871,Q6099477,Ivor Philipps,,sibling,wikidata
Q6253068,"John Plunkett, 17th Baron of Dunsany",2773,Q3140471,Horace Plunkett,,sibling,wikidata
Q6253138,"John Ponsonby, 4th Earl of Bessborough",,Q6253140,"John Ponsonby, 5th Earl of Bessborough",,child,wikidata
Q6253138,"John Ponsonby, 4th Earl of Bessborough",,Q5081706,"Charles Ponsonby, 2nd Baron de Mauley",,nephew/niece,wikidata
Q6253138,"John Ponsonby, 4th Earl of Bessborough",,Q4805554,Ashley Ponsonby,,nephew/niece,wikidata
Q6253138,"John Ponsonby, 4th Earl of Bessborough",,Q8016999,"William Ponsonby, 1st Baron de Mauley",,sibling,wikidata
Q6253140,"John Ponsonby, 5th Earl of Bessborough",3811,Q6253138,"John Ponsonby, 4th Earl of Bessborough",,father,wikidata
Q14949006,John Potter,7132,Q7787488,Thomas Bayley Potter,,sibling,wikidata
Q26722324,John Power,7140,Q26756018,"Edmond de la Poer, 1st Count de la Poer",,child,wikidata
Q6253318,"John Pratt, 3rd Marquess Camden",3328,Q5543534,"George Pratt, 2nd Marquess Camden",,father,wikidata
Q6254150,"John Ramsay, 13th Earl of Dalhousie",736,Q5080735,Charles Maule Ramsay,,sibling,wikidata
Q6254287,John Rathbone,8096,Q7804145,Tim Rathbone,,child,wikidata
Q225392,John Redmond,2175,Q8017428,William Redmond,,child,wikidata
Q225392,John Redmond,2175,Q8004519,William Archer Redmond,,father,wikidata
Q225392,John Redmond,2175,Q8021781,Willie Redmond,,sibling,wikidata
Q6255168,John Roberts,767,Q6255162,"John Roberts, 1st Baron Clwyd",,child,wikidata
Q6255162,"John Roberts, 1st Baron Clwyd",2128,Q6255168,John Roberts,,father,wikidata
Q6255541,"John Romilly, 1st Baron Romilly",5604,Q5345107,Edward Romilly,,sibling,wikidata
Q6255541,"John Romilly, 1st Baron Romilly",5604,Q5498658,Frederick Romilly,,sibling,wikidata
Q26234598,John Russell,,Q26240540,"Edward Russell, 23rd Baron de Clifford",,child,wikidata
Q157259,"John Russell, 1st Earl Russell",7180,Q6255964,"John Russell, Viscount Amberley",,child,wikidata
Q157259,"John Russell, 1st Earl Russell",7180,Q6834882,"William Russell, 8th Duke of Bedford",,nephew/niece,wikidata
Q157259,"John Russell, 1st Earl Russell",7180,Q6084189,George W. E. Russell,,nephew/niece,wikidata
Q157259,"John Russell, 1st Earl Russell",7180,Q6679056,Lord Charles Russell,,sibling,wikidata
Q157259,"John Russell, 1st Earl Russell",7180,Q25689,"Francis Russell, 7th Duke of Bedford",,sibling,wikidata
Q157259,"John Russell, 1st Earl Russell",7180,Q6679210,Lord Edward Russell,,sibling,wikidata
Q6255964,"John Russell, Viscount Amberley",3014,Q157259,"John Russell, 1st Earl Russell",,father,wikidata
Q6256112,"John Ryder, 5th Earl of Harrowby",7510,Q5311969,"Dudley Ryder, 6th Earl of Harrowby",,child,wikidata
Q6256551,John Salusbury-Trelawny,959,Q7529765,"Sir William Salusbury-Trelawny, 8th Baronet",,father,wikidata
Q6256600,John Sanctuary Nicholson,8060,Q8016134,William Nicholson,,father,wikidata
Q6256600,John Sanctuary Nicholson,8060,Q8010084,William Graham Nicholson,,sibling,wikidata
Q6256761,"John Savile, 3rd Earl of Mexborough",,Q6256763,"John Savile, 4th Earl of Mexborough",,child,wikidata
Q6256763,"John Savile, 4th Earl of Mexborough",5426,Q6256761,"John Savile, 3rd Earl of Mexborough",,father,wikidata
Q333214,"John Scott, 9th Duke of Buccleuch",8932,Q2602495,"Walter Montagu Douglas Scott, 8th Duke of Buccleuch",,father,wikidata
Q333214,"John Scott, 9th Duke of Buccleuch",8932,Q337464,"John Montagu Douglas Scott, 7th Duke of Buccleuch",,grandparent,wikidata
Q333214,"John Scott, 9th Duke of Buccleuch",8932,Q6680030,Lord William Montagu Douglas Scott,,uncle/aunt,wikidata
Q6105456,"John Seely, 1st Baron Mottistone",8073,Q7526292,"Sir Charles Seely, 1st Baronet",,father,wikidata
Q6105456,"John Seely, 1st Baron Mottistone",8073,Q5082431,Charles Seely,,grandparent,wikidata
Q6105456,"John Seely, 1st Baron Mottistone",8073,Q11802791,"Hugh Seely, 1st Baron Sherwood",,nephew/niece,wikidata
Q6105456,"John Seely, 1st Baron Mottistone",8073,Q7526294,"Sir Charles Seely, 2nd Baronet",,sibling,wikidata
Q6257470,John Shaw-Lefevre,4683,Q5544472,"George Shaw-Lefevre, 1st Baron Eversley",,child,wikidata
Q6257470,John Shaw-Lefevre,4683,Q205777,"Charles Shaw-Lefevre, 1st Viscount Eversley",,sibling,wikidata
Q6257849,John Silkin,5747,Q6537050,"Lewis Silkin, 1st Baron Silkin",,father,wikidata
Q6257849,John Silkin,5747,Q7412628,"Samuel Silkin, Baron Silkin of Dulwich",,sibling,wikidata
Q15458169,John Smith,7214,Q15452761,John Abel Smith,,child,wikidata
Q15458169,John Smith,7214,Q16063401,Martin Tucker Smith,,child,wikidata
Q15458169,John Smith,7214,Q1510187,Gerard Smith,,grandchild,wikidata
Q15458169,John Smith,7214,Q26735896,Jervoise Smith,,grandchild,wikidata
