ego,ego_name,alter,alter_name,relation,source
Q5365591,Elliot Yorke,Q5083776,"Charles Yorke, 4th Earl of Hardwicke",child;parent,panel;rush
Q5365591,Elliot Yorke,Q5361267,Eliot Yorke,niece/nephew;uncle/aunt,panel;rush
Q5365591,Elliot Yorke,Q6249777,Joseph Sydney Yorke,grandchild,panel
Q5365836,Ellis Ashmead-Bartlett,Q5365837,Ellis Ashmead-Bartlett,child;parent,panel;rush
Q5365836,Ellis Ashmead-Bartlett,Q8006140,William Burdett-Coutts,niece/nephew,panel
Q5365837,Ellis Ashmead-Bartlett,Q5365836,Ellis Ashmead-Bartlett,child;parent,panel;rush
Q5365837,Ellis Ashmead-Bartlett,Q8006140,William Burdett-Coutts,sibling,panel
Q5365871,Ellis Cunliffe Lister,Q26255125,William Lister,child;parent,panel;rush
Q5374827,Emslie Horniman,Q5498153,Frederick John Horniman,parent,rush
Q5379272,Enoch Baldwin,Q166635,Stanley Baldwin,indirect,rush
Q5386555,Eric Gandar Dower,Q4706670,Alan Dower,sibling,rush
Q5392734,Ernest Armstrong,Q332660,Hilary Armstrong,child,rush
Q5392750,Ernest Baggallay,Q7323902,Richard Baggallay,parent,rush
Q5392782,"Ernest Beckett, 2nd Baron Grimthorpe",Q5111934,Christopher Beckett Denison,niece/nephew;uncle/aunt,panel;rush
Q5392782,"Ernest Beckett, 2nd Baron Grimthorpe",Q5553468,Gervase Beckett,sibling,panel;rush
Q5392782,"Ernest Beckett, 2nd Baron Grimthorpe",Q7526465,"Sir Edmund Beckett, 4th Baronet",grandchild;grandparent,panel;rush
Q5392782,"Ernest Beckett, 2nd Baron Grimthorpe",Q8005295,William Beckett-Denison,child;parent,panel;rush
Q5392837,"Ernest Brudenell-Bruce, 3rd Marquess of Ailesbury",Q13529854,"Henry Brudenell-Bruce, 5th Marquess of Ailesbury",niece/nephew;parent,panel;rush
Q5392837,"Ernest Brudenell-Bruce, 3rd Marquess of Ailesbury",Q6679038,Lord Charles Bruce,sibling,panel;rush
Q5393565,Ernest Meysey-Thompson,Q5725848,"Henry Meysey-Thompson, 1st Baron Knaresborough",sibling,rush
Q5393565,Ernest Meysey-Thompson,Q7527055,"Sir Harry Meysey-Thompson, 1st Baronet",parent,rush
Q5393588,Ernest Morrison-Bell,Q7526348,"Sir Clive Morrison-Bell, 1st Baronet",sibling,rush
Q5393606,Ernest Bennett,Q5496992,Frederic Bennett,child;parent,panel;rush
Q5393618,Ernest Noel,Q13530009,Gerard Noel,indirect,rush
Q5393618,Ernest Noel,Q5081258,"Charles Noel, 2nd Earl of Gainsborough",cousin,panel;rush
Q5393898,Ernest Thurtle,Q247589,George Lansbury,indirect,rush
Q5393944,Ernest Villiers,Q17322488,"Ivor Guest, 1st Viscount Wimborne",indirect,rush
Q5393944,Ernest Villiers,Q333839,"William Tyssen-Amherst, 1st Baron Amherst of Hackney",uncle/aunt,rush
Q5416293,"Evelyn Cecil, 1st Baron Rockley",Q243705,"Robert Gascoyne-Cecil, 3rd Marquess of Salisbury",niece/nephew,panel
Q5416293,"Evelyn Cecil, 1st Baron Rockley",Q334182,"Hugh Cecil, 1st Baron Quickswood",sibling,rush
Q5416293,"Evelyn Cecil, 1st Baron Rockley",Q6679229,Lord Eustace Cecil,child;parent,panel;rush
Q5416313,"Evelyn Emmet, Baroness Emmet of Amberley",Q334511,"Rennell Rodd, 1st Baron Rennell",child,panel
Q5416349,Evelyn Hubbard,Q5347780,"Egerton Hubbard, 2nd Baron Addington",sibling,panel;rush
Q5416349,Evelyn Hubbard,Q6240199,"John Hubbard, 1st Baron Addington",child;parent,panel;rush
