politician_id,politician_name,rushid,has_relative,n_relatives_detected,multiple_relatives,closeness,relation_types,relative_chamber,peerage_linked_flag,relative_sources,relative_examples
Q7983008,"Wentworth Beaumont, 1st Baron Allendale",1196,1,6,1,parent,parent;child;sibling;grandparent,HoC,1,panel;rush,"Hubert Beaumont;Michael Beaumont;Ralph Beaumont;Somerset Beaumont;Thomas Wentworth Beaumont;Wentworth Beaumont, 1st Viscount Allendale"
Q7983009,"Wentworth Beaumont, 1st Viscount Allendale",2081,1,9,1,parent,parent;child;sibling;grandchild;uncle/aunt;niece/nephew;indirect,HoC,1,panel;rush,"Charles Vane-Tempest-Stewart, 6th Marquess of Londonderry;George Vane-Tempest, 5th Marquess of Londonderry;Edward Knatchbull-Hugessen, 2nd Baron Brabourne;Hubert Beaumont;Michael Beaumont;Ralph Beaumont;Somerset Beaumont;Thomas Wentworth Beaumont;Wentworth Beaumont, 1st Baron Allendale"
Q7983034,Wentworth Schofield,5681,0,0,0,,,,0,,
Q7983764,Wes Streeting,10011,0,0,0,,,,0,,
Q7983987,Wesley Perrins,5366,0,0,0,,,,0,,
Q7988450,Western Wood,7371,1,2,1,parent,parent;child;sibling,HoC,1,panel;rush,"William Wood, 1st Baron Hatherley;Sir Matthew Wood, 1st Baronet"
Q7989419,Weston Cracroft Amcotts,1114,0,0,0,,,,0,,
Q7989447,Weston Jarvis,2354,0,0,0,,,,0,,
Q799510,"John Atkinson, Baron Atkinson",2034,0,0,0,,,,1,,
Q8000141,"Wilbraham Tollemache, 2nd Baron Tollemache",949,1,3,1,parent,parent;child;indirect,HoC,1,panel;rush,"Charles Savile Roundell;John Tollemache, 1st Baron Tollemache;Lord Claud Hamilton"
Q8001677,Wilf Proudfoot,5473,0,0,0,,,,0,,
Q8001738,Wilfred Baker,8938,0,0,0,,,,0,,
Q8001788,Wilfred Fienburgh,3959,0,0,0,,,,0,,
Q8001857,Wilfred Paling,5312,0,0,0,,,,0,,
Q8001899,Wilfred Wellock,9425,0,0,0,,,,0,,
Q8001932,Wilfrid Burke,8939,0,0,0,,,,0,,
Q8001983,Wilfrid Roberts,8940,1,4,1,parent,parent;child;grandparent;uncle/aunt,HoC,1,panel;rush,"Charles Howard, 10th Earl of Carlisle;George Howard, 9th Earl of Carlisle;Charles Henry Roberts;Geoffrey Howard"
Q8001991,Wilfrid Sugden,5913,0,0,0,,,,0,,
Q8001998,Wilfrid Vernon,8937,0,0,0,,,,0,,
Q8002000,Wilfrid Whiteley,9414,0,0,0,,,,0,,
Q8002765,Will Crooks,3636,0,0,0,,,,0,,
Q8002937,Will Lawther,4664,0,0,0,,,,0,,
Q8002988,Will Nally,5174,0,0,0,,,,0,,
Q8003001,Will Owen,8959,0,0,0,,,,0,,
Q8004080,William A. Wilkins,6208,0,0,0,,,,0,,
Q8004115,William Abraham,13,0,0,0,,,,0,,
Q8004161,William Addams Williams,7357,0,0,0,,,,0,,
Q8004164,"William Addington, 3rd Viscount Sidmouth",54,0,0,0,,,,1,,
Q8004211,William Aitken,2988,1,2,1,parent,parent;child;uncle/aunt,HoC,1,panel;rush,"Max Aitken, 1st Baron Beaverbrook;Jonathan Aitken"
Q8004223,William Albert Jenkins,8320,0,0,0,,,,0,,
Q8004236,William Aldam,2994,0,0,0,,,,1,,
Q8004245,William Alexander,6384,0,0,0,,,,0,,
Q8004273,William Hunter,2329,0,0,0,,,,0,,
Q8004277,William Alexander Mackinnon,4852,1,3,1,parent,parent;child;grandchild,HoC,1,panel;rush,"William Alexander Mackinnon;Lauchlan Bellingham Mackinnon;Thomas Cochrane, 1st Baron Cochrane of Cults"
Q8004279,William McArthur,1793,1,2,1,parent,parent;uncle/aunt,HoC,0,rush,Alexander McArthur;William McArthur
Q8004325,William Allan,1819,0,0,0,,,,0,,
Q8004331,William Allan Reid,8321,0,0,0,,,,0,,
Q8004338,William Allen,2192,1,1,0,parent,parent,HoC,0,rush,William Shepherd Allen
Q8004339,William Allen,6387,0,0,0,,,,0,,
Q8004398,William Ambrose,1113,0,0,0,,,,0,,
Q8004453,William Angerstein,3025,1,1,0,parent,parent,HoC,0,rush,John Angerstein
Q8004468,"William Annesley, 4th Earl Annesley",6293,1,2,1,sibling,sibling;indirect,HoC,1,panel;rush,"Arthur Annesley, 11th Viscount Valentia;Hugh Annesley, 5th Earl Annesley"
Q8004479,"William Anstruther-Gray, Baron Kilmany",3029,1,1,0,parent,parent;child,HoC,1,panel;rush,William Anstruther-Gray
Q8004480,William Anstruther-Gray,3030,1,1,0,parent,parent;child,HoC,1,panel;rush,"William Anstruther-Gray, Baron Kilmany"
Q8004519,William Archer Redmond,743,1,3,1,parent,parent;child;grandparent;grandchild,HoC,0,panel;rush,John Redmond;William Redmond;Willie Redmond
Q8004525,William Archibald Macdonald,2523,0,0,0,,,,0,,
Q8004595,William Arthur Wilkinson,9052,0,0,0,,,,0,,
Q8004639,William Astell,3052,0,0,0,,,,0,,
Q8004648,William Atherton,6306,0,0,0,,,,0,,
Q8004693,William Augustus Johnson,6937,0,0,0,,,,0,,
Q8004924,"William Bagot, 3rd Baron Bagot",6506,0,0,0,,,,1,,
Q8005058,William Baring du Pré,8324,1,1,0,indirect,indirect,HoC,1,rush,Caledon Du Pré
Q8005118,"William Barrington, 6th Viscount Barrington",8984,1,2,1,parent,parent;child;sibling,HoC,1,panel;rush,"George Barrington, 7th Viscount Barrington;George Barrington"
Q8005129,William Barrow Simonds,861,0,0,0,,,,0,,
Q8005205,William Battie-Wrightson,6311,0,0,0,,,,0,,
Q8005244,William Beadel,1191,0,0,0,,,,0,,
Q8005295,William Beckett-Denison,6712,1,5,1,parent,parent;child;sibling;niece/nephew,HoC,1,panel;rush,"Christopher Beckett Denison;Ernest Beckett, 2nd Baron Grimthorpe;Gervase Beckett;Sir Edmund Beckett, 4th Baronet;Sir John Beckett, 2nd Baronet"
Q8005297,William Beckett,6432,0,0,0,,,,0,,
Q8005405,William Bennett,8312,0,0,0,,,,0,,
Q8005435,William Benyon,8970,1,1,0,parent,parent,HoC,1,panel,Richard Benyon
Q8005441,William Beresford,6559,1,3,1,parent,parent;indirect,HoC,1,rush,Edward Heneage;George Heneage;Marcus Beresford
Q8005503,"William Best, 2nd Baron Wynford",,0,0,0,,,,1,,
Q8005528,William Bickford-Smith,1217,0,0,0,,,,0,,
Q8005531,William Biddell,1218,0,0,0,,,,0,,
Q8005534,William Biggs,3198,0,0,0,,,,0,,
Q8005558,William Bird,3213,0,0,0,,,,0,,
Q8005666,William Henry Bodkin,6581,0,0,0,,,,0,,
Q8005682,William Bolling,3253,0,0,0,,,,0,,
Q8005755,William Bovill,3275,0,0,0,,,,0,,
